time,sample,raw,baseline,highpass,filtered,centered,detected_event,detector_state,current_lane,score,streak,lives,filter_type,baseline_alpha,smoothing_alpha,moving_average_window,threshold_multiplier,refractory_ms
23.181618916991283,891,32290,33054.80824702524,-764.8082470252411,-771.7335459097624,-463.79883673398217,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.221746666997205,892,32549,33052.27920579012,-503.279205790117,-718.0426778858333,-410.1079687100531,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.23300241699326,893,32290,33048.46780976116,-758.4678097611613,-726.1277042608989,-418.1929950851187,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.273523749987362,894,33144,33048.94547071236,95.05452928764134,-561.8912575511908,-253.95654837541065,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.285276166992844,895,33184,33049.62074335879,134.37925664120849,-422.637154712711,-114.70244553693078,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.326764208992245,896,32310,33045.922639642,-735.9226396419981,-485.29425169856836,-177.35954252278816,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.337477833993034,897,32390,33042.64302644379,-652.6430264437877,-518.7640066476122,-210.82929747183198,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.379125249994104,898,31635,33035.60481131157,-1400.6048113115685,-695.1321675804033,-387.19745840462315,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.39124416699633,899,31814,33029.49678725501,-1215.4967872550114,-799.205091515325,-491.27038233954477,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.431380583991995,900,31774,33023.219303318736,-1249.219303318736,-889.2079338760071,-581.2732247002269,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.44175795899355,901,32290,33019.55320680214,-729.5532068021421,-857.2769884612342,-549.342279285454,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.48363070898631,902,32866,33018.78544076813,-152.78544076812977,-716.3786789226133,-408.4439697468331,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.4940923749964,903,33184,33019.61151356429,164.38848643570964,-540.2252458509487,-232.29053667516848,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.534901749997516,904,33839,33023.70845599647,815.2915440035285,-269.1218878800533,38.812821295726906,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.545101333991624,905,33998,33028.57991371649,969.4200862835132,-21.41349304734004,286.5212161284402,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.58904370899836,906,34812,33037.4970141479,1774.5029858521011,337.7698027325481,645.7045119083283,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.598414708991186,907,35230,33048.45952907716,2181.5404709228387,706.5239363706062,1014.4586455463864,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.639892666993546,908,34971,33058.072231431775,1912.9277685682246,947.8047028101298,1255.73941198591,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.64987549999205,909,35448,33070.02187027461,2377.9781297253867,1233.839388193181,1541.7740973689613,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.69104408400017,910,33998,33074.66176092324,923.3382390767583,1171.7391583698966,1479.6738675456768,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.70283570898755,911,33442,33076.49845211863,365.50154788137297,1010.491636272192,1318.4263454479722,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.742220666987123,912,33661,33079.420959858035,581.5790401419654,924.7091170461466,1232.6438262219267,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.753632708991063,913,34137,33084.70885505874,1052.2911449412568,950.2255226251687,1258.1602318009488,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.796052083998802,914,34137,33089.97031078345,1047.0296892165497,969.5863559434449,1277.521065119225,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.806355291992077,915,34098,33095.01045922953,1002.989540770468,976.2669929088495,1284.2017020846297,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
